DATASET_TITLE,Car or Van Availability (KS404EW),,,,,,,,FROM,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011
AREA_TYPE,Super Output Area Lower Layer,,,,,,,,TO,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011
GEO_HIERARCHY,2011 Statistical Geography Hierarchy,,,,,,,,HEADING,All Households,No Cars or Vans in Household,No Cars or Vans in Household,1 Car or Van in Household,1 Car or Van in Household,2 Cars or Vans in Household,2 Cars or Vans in Household,3 Cars or Vans in Household,3 Cars or Vans in Household,4 or More Cars or Vans in Household,4 or More Cars or Vans in Household,All Cars or Vans in the Area
,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Percentage,Count,Percentage,Count,Percentage,Count,Percentage,Count,Percentage,Count
,,,,,,,,,STATISTICAL_UNIT,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Vehicles
GOR_CODE,GOR_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002655,Kingston upon Hull 004,E01012784,Kingston upon Hull 004C,,,791,232,29.3,345,43.6,192,24.3,21,2.7,1,0.1,796
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002653,Kingston upon Hull 002,E01012785,Kingston upon Hull 002B,,,549,300,54.6,209,38.1,36,6.6,4,0.7,0,0,293
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002653,Kingston upon Hull 002,E01012786,Kingston upon Hull 002C,,,507,181,35.7,249,49.1,63,12.4,8,1.6,6,1.2,423
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002653,Kingston upon Hull 002,E01012787,Kingston upon Hull 002D,,,681,385,56.5,253,37.2,37,5.4,6,0.9,0,0,345
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002653,Kingston upon Hull 002,E01012788,Kingston upon Hull 002E,,,578,256,44.3,263,45.5,45,7.8,9,1.6,5,0.9,402
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002653,Kingston upon Hull 002,E01012789,Kingston upon Hull 002F,,,540,250,46.3,228,42.2,55,10.2,5,0.9,2,0.4,362
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002655,Kingston upon Hull 004,E01012790,Kingston upon Hull 004D,,,569,234,41.1,265,46.6,55,9.7,12,2.1,3,0.5,425
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002665,Kingston upon Hull 014,E01012791,Kingston upon Hull 014A,,,662,84,12.7,338,51.1,189,28.5,38,5.7,13,2,886
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002665,Kingston upon Hull 014,E01012792,Kingston upon Hull 014B,,,644,107,16.6,321,49.8,182,28.3,27,4.2,7,1.1,796
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002665,Kingston upon Hull 014,E01012793,Kingston upon Hull 014C,,,620,165,26.6,250,40.3,162,26.1,30,4.8,13,2.1,723
